time,cpu_utilization,workload_type,workload_intensity
44,100.0,IO-bound,Low
45,100.0,IO-bound,Low
46,100.0,IO-bound,Low
47,75.0,IO-bound,Low
48,75.0,IO-bound,Low
49,50.0,IO-bound,Low
50,75.0,IO-bound,Low
51,100.0,IO-bound,Low
52,100.0,IO-bound,Low
53,100.0,IO-bound,Low
54,100.0,IO-bound,Low
55,100.0,IO-bound,Low
56,100.0,IO-bound,Low
57,75.0,IO-bound,Low
58,75.0,IO-bound,Low
59,100.0,IO-bound,Low
60,100.0,IO-bound,Low
61,100.0,IO-bound,Low
62,75.0,IO-bound,Low
63,75.0,IO-bound,Low
64,75.0,IO-bound,Low
65,75.0,IO-bound,Low
66,75.0,IO-bound,Low
67,25.0,IO-bound,Low
68,50.0,IO-bound,Low
69,50.0,IO-bound,Low
70,75.0,IO-bound,Low
71,100.0,IO-bound,Low
72,100.0,IO-bound,Low
73,100.0,IO-bound,Low
74,100.0,IO-bound,Low
75,100.0,IO-bound,Low
76,75.0,IO-bound,Low
77,75.0,IO-bound,Low
78,75.0,IO-bound,Low
79,100.0,IO-bound,Low
80,100.0,IO-bound,Low
81,100.0,IO-bound,Low
82,100.0,IO-bound,Low
83,75.0,IO-bound,Low
84,75.0,IO-bound,Low
85,75.0,IO-bound,Low
86,75.0,IO-bound,Low
87,100.0,IO-bound,Low
88,100.0,IO-bound,Low
89,50.0,IO-bound,Low
90,50.0,IO-bound,Low
91,100.0,IO-bound,Low
92,100.0,IO-bound,Low
93,100.0,IO-bound,Low
94,100.0,IO-bound,Low
95,100.0,IO-bound,Low
96,75.0,IO-bound,Low
97,100.0,IO-bound,Low
98,100.0,IO-bound,Low
99,100.0,IO-bound,Low
0,100.0,IO-bound,Moderate
1,75.0,IO-bound,Moderate
2,100.0,IO-bound,Moderate
3,100.0,IO-bound,Moderate
4,100.0,IO-bound,Moderate
5,100.0,IO-bound,Moderate
6,75.0,IO-bound,Moderate
7,50.0,IO-bound,Moderate
8,75.0,IO-bound,Moderate
9,75.0,IO-bound,Moderate
10,75.0,IO-bound,Moderate
11,75.0,IO-bound,Moderate
12,75.0,IO-bound,Moderate
13,75.0,IO-bound,Moderate
14,75.0,IO-bound,Moderate
15,75.0,IO-bound,Moderate
16,100.0,IO-bound,Moderate
17,75.0,IO-bound,Moderate
18,75.0,IO-bound,Moderate
19,100.0,IO-bound,Moderate
20,50.0,IO-bound,Moderate
21,25.0,IO-bound,Moderate
22,75.0,IO-bound,Moderate
23,100.0,IO-bound,Moderate
24,75.0,IO-bound,Moderate
25,100.0,IO-bound,Moderate
26,50.0,IO-bound,Moderate
27,50.0,IO-bound,Moderate
28,25.0,IO-bound,Moderate
29,100.0,IO-bound,Moderate
30,100.0,IO-bound,Moderate
31,75.0,IO-bound,Moderate
32,100.0,IO-bound,Moderate
33,100.0,IO-bound,Moderate
34,100.0,IO-bound,Moderate
35,100.0,IO-bound,Moderate
36,75.0,IO-bound,Moderate
37,100.0,IO-bound,Moderate
38,100.0,IO-bound,Moderate
39,100.0,IO-bound,Moderate
40,100.0,IO-bound,Moderate
41,75.0,IO-bound,Moderate
42,75.0,IO-bound,Moderate
43,50.0,IO-bound,Moderate
44,75.0,IO-bound,Moderate
45,75.0,IO-bound,Moderate
46,100.0,IO-bound,Moderate
47,100.0,IO-bound,Moderate
48,100.0,IO-bound,Moderate
49,100.0,IO-bound,Moderate
50,75.0,IO-bound,Moderate
51,75.0,IO-bound,Moderate
52,75.0,IO-bound,Moderate
53,100.0,IO-bound,Moderate
54,100.0,IO-bound,Moderate
55,100.0,IO-bound,Moderate
56,100.0,IO-bound,Moderate
57,100.0,IO-bound,Moderate
58,100.0,IO-bound,Moderate
59,100.0,IO-bound,Moderate
60,100.0,IO-bound,Moderate
61,100.0,IO-bound,Moderate
62,100.0,IO-bound,Moderate
63,100.0,IO-bound,Moderate
64,75.0,IO-bound,Moderate
65,75.0,IO-bound,Moderate
66,75.0,IO-bound,Moderate
67,100.0,IO-bound,Moderate
68,100.0,IO-bound,Moderate
69,100.0,IO-bound,Moderate
70,100.0,IO-bound,Moderate
71,100.0,IO-bound,Moderate
72,100.0,IO-bound,Moderate
73,75.0,IO-bound,Moderate
74,75.0,IO-bound,Moderate
75,100.0,IO-bound,Moderate
76,100.0,IO-bound,Moderate
77,100.0,IO-bound,Moderate
78,75.0,IO-bound,Moderate
79,75.0,IO-bound,Moderate
80,75.0,IO-bound,Moderate
81,100.0,IO-bound,Moderate
82,100.0,IO-bound,Moderate
83,75.0,IO-bound,Moderate
84,75.0,IO-bound,Moderate
85,75.0,IO-bound,Moderate
86,100.0,IO-bound,Moderate
87,100.0,IO-bound,Moderate
88,100.0,IO-bound,Moderate
89,100.0,IO-bound,Moderate
90,75.0,IO-bound,Moderate
91,75.0,IO-bound,Moderate
92,50.0,IO-bound,Moderate
93,100.0,IO-bound,Moderate
94,100.0,IO-bound,Moderate
95,100.0,IO-bound,Moderate
96,75.0,IO-bound,Moderate
97,75.0,IO-bound,Moderate
98,75.0,IO-bound,Moderate
99,50.0,IO-bound,Moderate
0,100.0,IO-bound,High
1,25.0,IO-bound,High
2,50.0,IO-bound,High
3,50.0,IO-bound,High
4,75.0,IO-bound,High
5,100.0,IO-bound,High
6,75.0,IO-bound,High
7,75.0,IO-bound,High
8,75.0,IO-bound,High
9,75.0,IO-bound,High
10,50.0,IO-bound,High
11,50.0,IO-bound,High
12,75.0,IO-bound,High
13,75.0,IO-bound,High
14,75.0,IO-bound,High
15,75.0,IO-bound,High
16,75.0,IO-bound,High
17,100.0,IO-bound,High
18,50.0,IO-bound,High
19,25.0,IO-bound,High
20,75.0,IO-bound,High
21,50.0,IO-bound,High
22,75.0,IO-bound,High
23,100.0,IO-bound,High
24,100.0,IO-bound,High
25,100.0,IO-bound,High
26,100.0,IO-bound,High
27,75.0,IO-bound,High
28,75.0,IO-bound,High
29,75.0,IO-bound,High
30,75.0,IO-bound,High
31,75.0,IO-bound,High
32,0.0,IO-bound,High
33,25.0,IO-bound,High
34,75.0,IO-bound,High
35,75.0,IO-bound,High
36,75.0,IO-bound,High
37,75.0,IO-bound,High
38,75.0,IO-bound,High
39,100.0,IO-bound,High
40,75.0,IO-bound,High
41,75.0,IO-bound,High
42,50.0,IO-bound,High
43,100.0,IO-bound,High
44,75.0,IO-bound,High
45,100.0,IO-bound,High
46,100.0,IO-bound,High
47,50.0,IO-bound,High
48,50.0,IO-bound,High
49,50.0,IO-bound,High
50,75.0,IO-bound,High
51,75.0,IO-bound,High
52,75.0,IO-bound,High
53,75.0,IO-bound,High
54,25.0,IO-bound,High
55,100.0,IO-bound,High
56,75.0,IO-bound,High
57,75.0,IO-bound,High
58,100.0,IO-bound,High
59,100.0,IO-bound,High
60,75.0,IO-bound,High
61,50.0,IO-bound,High
62,50.0,IO-bound,High
63,75.0,IO-bound,High
64,50.0,IO-bound,High
65,0.0,IO-bound,High
66,0.0,IO-bound,High
67,25.0,IO-bound,High
68,75.0,IO-bound,High
69,75.0,IO-bound,High
70,50.0,IO-bound,High
71,0.0,IO-bound,High
72,25.0,IO-bound,High
73,50.0,IO-bound,High
74,75.0,IO-bound,High
75,75.0,IO-bound,High
76,50.0,IO-bound,High
77,50.0,IO-bound,High
78,25.0,IO-bound,High
79,25.0,IO-bound,High
80,25.0,IO-bound,High
81,25.0,IO-bound,High
82,50.0,IO-bound,High
83,75.0,IO-bound,High
84,100.0,IO-bound,High
85,25.0,IO-bound,High
86,25.0,IO-bound,High
87,0.0,IO-bound,High
88,0.0,IO-bound,High
89,0.0,IO-bound,High
90,0.0,IO-bound,High
91,0.0,IO-bound,High
92,0.0,IO-bound,High
93,0.0,IO-bound,High
94,50.0,IO-bound,High
95,25.0,IO-bound,High
96,75.0,IO-bound,High
97,100.0,IO-bound,High
98,75.0,IO-bound,High
99,25.0,IO-bound,High
0,100.0,Mixed,Low
1,75.0,Mixed,Low
2,75.0,Mixed,Low
3,75.0,Mixed,Low
4,50.0,Mixed,Low
5,25.0,Mixed,Low
6,50.0,Mixed,Low
7,50.0,Mixed,Low
8,75.0,Mixed,Low
9,75.0,Mixed,Low
10,75.0,Mixed,Low
11,75.0,Mixed,Low
12,75.0,Mixed,Low
13,75.0,Mixed,Low
14,75.0,Mixed,Low
15,100.0,Mixed,Low
16,100.0,Mixed,Low
17,100.0,Mixed,Low
18,100.0,Mixed,Low
19,100.0,Mixed,Low
20,100.0,Mixed,Low
21,100.0,Mixed,Low
22,100.0,Mixed,Low
23,100.0,Mixed,Low
24,100.0,Mixed,Low
25,100.0,Mixed,Low
26,100.0,Mixed,Low
27,100.0,Mixed,Low
28,100.0,Mixed,Low
29,100.0,Mixed,Low
30,100.0,Mixed,Low
31,100.0,Mixed,Low
32,100.0,Mixed,Low
33,100.0,Mixed,Low
34,100.0,Mixed,Low
35,75.0,Mixed,Low
36,75.0,Mixed,Low
37,100.0,Mixed,Low
38,100.0,Mixed,Low
39,100.0,Mixed,Low
40,100.0,Mixed,Low
41,75.0,Mixed,Low
42,75.0,Mixed,Low
43,50.0,Mixed,Low
44,50.0,Mixed,Low
45,50.0,Mixed,Low
46,50.0,Mixed,Low
47,50.0,Mixed,Low
48,50.0,Mixed,Low
49,50.0,Mixed,Low
